TypeDoc	TypeJP	Depart	DateRetour	Chalut	Casier	Nasse	Pots	tremail tremail	Turlutte	qseqdebut	qseqfin	Date Jour	NPage	Esp1	Esp2	Esp3	Esp4	Esp5	Esp6	Esp7	Esp8	Esp9	Esp10	Esp11	Esp12	Esp13	Esp14	Esp15	Esp16	PREFIXE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE1904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	1863.0	0.0	9828.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE1904	38550.0	0.0	8790.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	999.0	0.0	9558.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE1904	26010.0	0.0	2640.0	0.0	8790.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	1863.0	0.0	13419.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE1904	29700.0	0.0	60.0	0.0	2640.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	19602.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE1904	42750.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17226.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE1905	41700.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE1905	28740.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	14580.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE1905	59880.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	840.0	0.0	0.0	0.0	0.0	0.0	0.0	6480.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE1905	6150.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	2250.0	0.0	0.0	0.0	0.0	0.0	0.0	17361.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE1905	0.0	0.0	0.0	0.0	44850.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	5697.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	06/10/2016	PE1906	39810.0	0.0	0.0	0.0	3000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5400.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	23/09/2016	17/10/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE2951	PE2955	23/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2860.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2870.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1590.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7440.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4590.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6320.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4760.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7490.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	06/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5025.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	07/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2005.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	08/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4370.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	09/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	10/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2990.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	11/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	12/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	13/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	PE
